年齡,工作,婚姻,學歷,聯絡方式,最後聯絡時間,聯絡次數,消費價格指數,消費信心指數,訂購
35.0,主管,已婚,高中,手機,283.0,1,93.91799999999999,-42.7,偶爾
29.0,主管,已婚,高中,手機,379.0,2,94.055,-39.8,頻繁
36.0,藍領,已婚,國中,手機,523.0,2,92.89299999999999,-46.2,一次
36.0,主管,單身,大學,手機,67.0,6,93.91799999999999,-42.7,頻繁
49.0,藍領,已婚,國中,市話,27.0,1,93.994,-36.4,從未
39.0,藍領,已婚,國中,手機,238.0,2,93.91799999999999,-42.7,從未
31.0,自僱人士,單身,高中,手機,85.0,2,93.91799999999999,-42.7,一次
58.0,退休,已婚,小學,手機,1014.0,1,93.91799999999999,-42.7,頻繁
57.0,技術員,已婚,國中,市話,215.0,3,94.465,-41.8,從未
31.0,技術員,單身,高中,手機,232.0,2,93.444,-36.1,頻繁
50.0,藍領,已婚,未知,市話,124.0,12,93.91799999999999,-42.7,一次
64.0,家管,已婚,未知,市話,671.0,3,93.876,-40.0,一次
38.0,技術員,已婚,專科,手機,66.0,3,92.84299999999999,-50.0,偶爾
33.0,主管,已婚,大學,手機,369.0,3,94.199,-37.5,頻繁
25.0,藍領,已婚,國中,手機,201.0,3,93.91799999999999,-42.7,頻繁
45.0,藍領,已婚,國中,手機,134.0,1,93.444,-36.1,一次
70.0,退休,已婚,大學,手機,73.0,3,92.20100000000001,-31.4,從未
38.0,藍領,已婚,國中,市話,123.0,1,94.465,-41.8,偶爾
60.0,主管,已婚,高中,手機,208.0,1,93.075,-47.1,頻繁
48.0,技術員,已婚,國中,手機,99.0,3,92.37899999999999,-29.8,從未
49.0,藍領,離婚,高中,市話,152.0,1,93.994,-36.4,頻繁
53.0,家管,已婚,大學,手機,494.0,1,93.749,-34.6,從未
39.0,技術員,已婚,國中,市話,155.0,3,93.994,-36.4,從未
42.0,主管,已婚,大學,手機,58.0,1,93.444,-36.1,一次
46.0,技術員,離婚,專科,市話,144.0,3,93.994,-36.4,一次
47.0,退休,單身,國中,手機,157.0,5,93.91799999999999,-42.7,偶爾
53.0,技術員,離婚,高中,手機,405.0,1,93.2,-42.0,一次
29.0,主管,未知,專科,手機,125.0,1,93.2,-42.0,頻繁
23.0,學生,單身,高中,手機,637.0,1,93.075,-47.1,一次
48.0,主管,已婚,高中,手機,64.0,1,93.91799999999999,-42.7,一次
44.0,主管,已婚,大學,手機,109.0,1,93.075,-47.1,頻繁
52.0,經理,已婚,大學,市話,27.0,10,93.994,-36.4,偶爾
47.0,經理,已婚,大學,市話,107.0,3,93.994,-36.4,偶爾
43.0,藍領,單身,小學,手機,175.0,1,93.2,-42.0,偶爾
34.0,技術員,已婚,專科,市話,63.0,1,93.994,-36.4,一次
33.0,主管,已婚,大學,手機,130.0,1,92.431,-26.9,頻繁
30.0,主管,已婚,大學,手機,243.0,1,93.444,-36.1,從未
25.0,主管,單身,大學,手機,1139.0,2,92.713,-33.0,從未
38.0,技術員,單身,大學,手機,31.0,3,93.075,-47.1,一次
36.0,技術員,已婚,專科,市話,142.0,10,93.994,-36.4,頻繁
37.0,主管,已婚,高中,手機,22.0,6,92.89299999999999,-46.2,頻繁
30.0,技術員,單身,國中,手機,112.0,1,92.89299999999999,-46.2,偶爾
34.0,主管,單身,高中,手機,303.0,1,93.2,-42.0,一次
49.0,主管,已婚,大學,手機,790.0,1,93.444,-36.1,偶爾
37.0,技術員,離婚,專科,手機,464.0,1,93.075,-47.1,頻繁
24.0,技術員,單身,國中,市話,248.0,9,93.91799999999999,-42.7,頻繁
34.0,服務業,已婚,高中,手機,71.0,3,92.89299999999999,-46.2,偶爾
54.0,技術員,已婚,專科,市話,196.0,2,93.994,-36.4,從未
38.0,學生,單身,未知,手機,248.0,1,93.369,-34.8,一次
49.0,技術員,已婚,專科,手機,96.0,1,93.444,-36.1,偶爾
52.0,經理,已婚,大學,市話,185.0,1,93.994,-36.4,一次
38.0,藍領,已婚,國中,手機,1055.0,1,93.2,-42.0,從未
25.0,主管,已婚,大學,手機,294.0,1,92.84299999999999,-50.0,從未
52.0,經理,已婚,大學,市話,412.0,1,93.994,-36.4,從未
35.0,經理,已婚,大學,手機,137.0,2,93.444,-36.1,頻繁
34.0,主管,已婚,高中,手機,109.0,3,92.89299999999999,-46.2,一次
49.0,技術員,單身,專科,手機,68.0,1,92.963,-40.8,從未
68.0,退休,已婚,大學,手機,546.0,2,94.215,-40.3,頻繁
29.0,藍領,單身,國中,市話,139.0,1,94.465,-41.8,一次
34.0,主管,單身,高中,手機,653.0,1,92.89299999999999,-46.2,頻繁
32.0,企業家,已婚,大學,手機,116.0,1,94.215,-40.3,頻繁
33.0,企業家,已婚,大學,手機,92.0,2,92.89299999999999,-46.2,一次
44.0,技術員,已婚,專科,市話,184.0,2,93.994,-36.4,偶爾
35.0,藍領,已婚,國中,手機,15.0,6,92.89299999999999,-46.2,從未
34.0,服務業,已婚,高中,手機,353.0,6,92.89299999999999,-46.2,頻繁
53.0,家管,單身,小學,市話,54.0,15,93.994,-36.4,一次
41.0,藍領,離婚,專科,市話,39.0,10,94.465,-41.8,偶爾
34.0,經理,已婚,大學,手機,87.0,1,92.431,-26.9,從未
47.0,自僱人士,已婚,大學,手機,484.0,1,93.444,-36.1,從未
29.0,主管,單身,高中,手機,150.0,4,93.369,-34.8,偶爾
35.0,藍領,已婚,小學,手機,386.0,1,92.89299999999999,-46.2,一次
30.0,技術員,已婚,大學,手機,96.0,1,93.444,-36.1,從未
30.0,藍領,已婚,小學,手機,202.0,1,93.075,-47.1,偶爾
56.0,無業,離婚,小學,手機,363.0,2,94.601,-49.5,偶爾
40.0,藍領,已婚,小學,市話,140.0,5,93.994,-36.4,偶爾
36.0,藍領,已婚,國中,手機,125.0,5,92.89299999999999,-46.2,偶爾
41.0,經理,已婚,未知,市話,30.0,1,94.465,-41.8,偶爾
64.0,退休,已婚,高中,手機,146.0,1,92.649,-30.1,頻繁
28.0,服務業,已婚,未知,市話,220.0,1,94.465,-41.8,從未
51.0,技術員,已婚,專科,市話,220.0,2,93.994,-36.4,一次
51.0,經理,已婚,大學,市話,567.0,1,94.465,-41.8,偶爾
45.0,家管,已婚,大學,市話,460.0,2,93.075,-47.1,從未
45.0,經理,已婚,大學,手機,113.0,2,93.444,-36.1,頻繁
34.0,主管,單身,高中,市話,22.0,1,94.027,-38.3,一次
31.0,主管,已婚,高中,手機,160.0,5,93.91799999999999,-42.7,一次
35.0,主管,已婚,高中,市話,66.0,4,93.994,-36.4,頻繁
41.0,藍領,已婚,專科,手機,247.0,1,93.075,-47.1,從未
27.0,藍領,已婚,國中,市話,34.0,8,94.465,-41.8,頻繁
34.0,經理,已婚,大學,市話,179.0,1,93.2,-42.0,頻繁
31.0,主管,單身,大學,市話,151.0,1,93.994,-36.4,一次
45.0,主管,已婚,未知,手機,438.0,2,92.963,-40.8,偶爾
33.0,藍領,已婚,國中,市話,16.0,5,92.89299999999999,-46.2,從未
31.0,藍領,單身,國中,市話,323.0,4,93.994,-36.4,一次
36.0,退休,已婚,未知,市話,269.0,2,93.91799999999999,-42.7,一次
32.0,主管,已婚,大學,市話,135.0,3,94.465,-41.8,偶爾
20.0,藍領,單身,小學,市話,36.0,1,94.199,-37.5,偶爾
49.0,藍領,離婚,高中,市話,192.0,1,93.2,-42.0,一次
32.0,主管,離婚,大學,手機,197.0,5,93.444,-36.1,一次
48.0,技術員,已婚,國中,手機,171.0,5,93.91799999999999,-42.7,一次
40.0,主管,已婚,高中,市話,9.0,3,94.465,-41.8,一次
39.0,無業,已婚,專科,市話,281.0,4,94.465,-41.8,從未
30.0,藍領,單身,國中,手機,30.0,1,93.2,-42.0,偶爾
24.0,學生,單身,高中,市話,109.0,1,92.963,-40.8,從未
40.0,自僱人士,已婚,高中,手機,51.0,7,93.91799999999999,-42.7,頻繁
32.0,技術員,單身,專科,手機,226.0,1,93.2,-42.0,從未
41.0,主管,已婚,大學,市話,75.0,1,94.465,-41.8,頻繁
36.0,無業,已婚,大學,手機,616.0,2,93.91799999999999,-42.7,頻繁
36.0,主管,已婚,國中,手機,72.0,1,93.2,-42.0,偶爾
42.0,企業家,已婚,大學,手機,265.0,1,92.89299999999999,-46.2,頻繁
33.0,技術員,單身,專科,手機,70.0,1,92.89299999999999,-46.2,一次
73.0,退休,離婚,高中,手機,284.0,1,92.713,-33.0,一次
54.0,藍領,已婚,小學,手機,781.0,5,93.444,-36.1,頻繁
34.0,主管,單身,高中,手機,80.0,1,92.89299999999999,-46.2,頻繁
34.0,主管,單身,大學,市話,34.0,1,93.2,-42.0,一次
37.0,技術員,已婚,專科,手機,222.0,6,93.2,-42.0,從未
48.0,經理,離婚,大學,市話,159.0,5,93.994,-36.4,一次
26.0,學生,單身,未知,手機,306.0,1,92.89299999999999,-46.2,一次
25.0,技術員,單身,國中,手機,14.0,4,92.89299999999999,-46.2,從未
36.0,主管,單身,高中,手機,140.0,1,93.075,-47.1,一次
30.0,服務業,單身,高中,手機,111.0,2,92.89299999999999,-46.2,一次
40.0,服務業,單身,專科,市話,202.0,2,93.994,-36.4,從未
24.0,技術員,單身,專科,手機,175.0,1,92.89299999999999,-46.2,從未
31.0,主管,已婚,高中,手機,82.0,3,93.91799999999999,-42.7,頻繁
29.0,技術員,單身,大學,手機,1007.0,6,92.469,-33.6,偶爾
29.0,主管,已婚,大學,手機,220.0,3,93.444,-36.1,從未
50.0,技術員,已婚,國中,市話,55.0,2,93.2,-42.0,一次
59.0,藍領,離婚,小學,市話,341.0,5,93.994,-36.4,偶爾
40.0,經理,已婚,大學,市話,136.0,1,94.465,-41.8,從未
41.0,經理,已婚,大學,手機,93.0,1,92.89299999999999,-46.2,從未
39.0,經理,單身,高中,手機,68.0,3,93.2,-42.0,一次
23.0,藍領,已婚,國中,市話,633.0,1,93.994,-36.4,一次
31.0,技術員,已婚,大學,手機,168.0,1,93.444,-36.1,頻繁
33.0,自僱人士,已婚,國中,手機,1000.0,1,93.444,-36.1,一次
47.0,技術員,離婚,高中,手機,828.0,2,93.91799999999999,-42.7,一次
30.0,技術員,已婚,專科,市話,177.0,2,93.994,-36.4,一次
41.0,藍領,已婚,國中,市話,109.0,3,94.465,-41.8,頻繁
56.0,藍領,已婚,小學,市話,136.0,2,94.465,-41.8,頻繁
40.0,主管,已婚,高中,手機,228.0,2,93.91799999999999,-42.7,頻繁
32.0,主管,單身,大學,手機,65.0,2,93.444,-36.1,從未
37.0,主管,已婚,高中,手機,439.0,2,93.075,-47.1,偶爾
31.0,主管,單身,高中,手機,21.0,35,93.91799999999999,-42.7,一次
49.0,技術員,已婚,高中,手機,143.0,1,92.89299999999999,-46.2,一次
31.0,技術員,已婚,專科,手機,270.0,3,93.444,-36.1,頻繁
35.0,藍領,已婚,國中,手機,170.0,1,93.91799999999999,-42.7,頻繁
76.0,退休,已婚,專科,手機,308.0,1,92.20100000000001,-31.4,一次
36.0,經理,已婚,大學,手機,268.0,1,92.89299999999999,-46.2,從未
50.0,退休,已婚,大學,手機,128.0,3,93.2,-42.0,偶爾
38.0,主管,單身,大學,手機,140.0,1,92.20100000000001,-31.4,一次
29.0,技術員,單身,大學,手機,58.0,1,93.444,-36.1,一次
33.0,主管,單身,大學,手機,173.0,1,92.20100000000001,-31.4,頻繁
53.0,家管,已婚,未知,手機,104.0,5,93.2,-42.0,一次
37.0,藍領,已婚,國中,手機,262.0,4,92.431,-26.9,偶爾
50.0,經理,已婚,大學,市話,93.0,4,93.994,-36.4,頻繁
83.0,退休,離婚,小學,手機,268.0,1,94.199,-37.5,偶爾
48.0,藍領,已婚,高中,市話,144.0,1,93.994,-36.4,從未
42.0,主管,已婚,大學,手機,146.0,2,93.91799999999999,-42.7,偶爾
50.0,企業家,已婚,專科,手機,293.0,4,93.444,-36.1,一次
38.0,藍領,已婚,國中,手機,148.0,2,94.055,-39.8,頻繁
43.0,藍領,已婚,小學,市話,255.0,1,93.994,-36.4,一次
36.0,自僱人士,單身,國中,市話,180.0,2,93.994,-36.4,偶爾
45.0,經理,已婚,大學,手機,26.0,15,93.444,-36.1,頻繁
40.0,藍領,已婚,專科,手機,80.0,1,93.2,-42.0,偶爾
46.0,主管,單身,大學,市話,193.0,1,94.465,-41.8,一次
21.0,主管,單身,高中,手機,102.0,1,93.91799999999999,-42.7,一次
33.0,主管,單身,大學,市話,109.0,1,93.2,-42.0,偶爾
31.0,藍領,已婚,小學,市話,145.0,1,93.91799999999999,-42.7,頻繁
50.0,技術員,已婚,專科,手機,830.0,5,93.91799999999999,-42.7,頻繁
27.0,學生,單身,未知,手機,103.0,4,92.963,-40.8,從未
29.0,主管,已婚,大學,市話,105.0,1,94.465,-41.8,從未
38.0,技術員,已婚,專科,手機,63.0,2,92.84299999999999,-50.0,偶爾
54.0,服務業,已婚,未知,市話,400.0,1,93.994,-36.4,從未
36.0,主管,單身,國中,手機,274.0,1,93.91799999999999,-42.7,頻繁
37.0,服務業,單身,高中,市話,96.0,5,93.994,-36.4,從未
40.0,技術員,已婚,專科,手機,256.0,6,93.444,-36.1,一次
50.0,服務業,離婚,小學,市話,80.0,4,94.465,-41.8,偶爾
33.0,藍領,單身,國中,手機,214.0,1,93.2,-42.0,從未
28.0,主管,單身,大學,市話,394.0,2,93.075,-47.1,從未
44.0,主管,已婚,高中,市話,221.0,2,93.994,-36.4,偶爾
31.0,服務業,單身,大學,手機,262.0,2,92.89299999999999,-46.2,偶爾
37.0,企業家,已婚,大學,市話,215.0,1,93.2,-42.0,從未
31.0,服務業,已婚,國中,手機,208.0,1,92.963,-40.8,頻繁
51.0,主管,已婚,高中,手機,81.0,1,93.444,-36.1,頻繁
23.0,主管,單身,大學,手機,76.0,2,94.215,-40.3,一次
24.0,服務業,單身,未知,手機,103.0,1,92.84299999999999,-50.0,偶爾
55.0,家管,已婚,專科,市話,137.0,5,92.89299999999999,-46.2,一次
49.0,企業家,已婚,大學,手機,165.0,1,93.2,-42.0,偶爾
45.0,主管,已婚,國中,市話,138.0,1,93.994,-36.4,從未
27.0,服務業,單身,高中,市話,323.0,2,94.465,-41.8,偶爾
39.0,服務業,已婚,小學,市話,126.0,2,93.994,-36.4,頻繁
34.0,技術員,已婚,專科,市話,67.0,2,94.465,-41.8,從未
56.0,藍領,已婚,小學,市話,11.0,5,94.465,-41.8,偶爾
32.0,自僱人士,單身,大學,手機,441.0,2,93.075,-47.1,偶爾
48.0,無業,已婚,大學,手機,60.0,1,93.2,-42.0,頻繁
40.0,藍領,已婚,高中,手機,144.0,1,93.2,-42.0,頻繁
37.0,服務業,已婚,高中,市話,74.0,3,93.994,-36.4,頻繁
41.0,主管,單身,大學,手機,93.0,1,93.2,-42.0,頻繁
36.0,技術員,已婚,專科,手機,231.0,2,93.2,-42.0,從未
30.0,經理,已婚,高中,手機,19.0,12,93.444,-36.1,一次
36.0,家管,已婚,國中,手機,210.0,2,93.444,-36.1,一次
44.0,主管,單身,大學,手機,90.0,4,93.2,-42.0,頻繁
50.0,自僱人士,已婚,大學,市話,103.0,1,93.2,-42.0,一次
38.0,技術員,已婚,專科,手機,106.0,1,92.84299999999999,-50.0,一次
42.0,主管,已婚,高中,市話,63.0,1,93.994,-36.4,頻繁
23.0,學生,單身,高中,手機,400.0,2,93.075,-47.1,頻繁
32.0,服務業,單身,未知,手機,189.0,3,92.89299999999999,-46.2,頻繁
35.0,藍領,已婚,國中,手機,212.0,2,92.89299999999999,-46.2,偶爾
24.0,主管,單身,大學,市話,100.0,1,93.075,-47.1,偶爾
48.0,藍領,已婚,小學,市話,36.0,1,93.994,-36.4,頻繁
48.0,主管,已婚,大學,手機,651.0,9,93.444,-36.1,頻繁
41.0,主管,離婚,大學,手機,101.0,3,94.215,-40.3,頻繁
51.0,藍領,已婚,國中,手機,495.0,1,92.89299999999999,-46.2,一次
39.0,藍領,已婚,國中,市話,557.0,2,92.89299999999999,-46.2,一次
58.0,經理,已婚,大學,手機,299.0,2,93.444,-36.1,頻繁
32.0,服務業,單身,高中,手機,402.0,2,92.89299999999999,-46.2,頻繁
34.0,技術員,單身,國中,手機,140.0,3,94.027,-38.3,頻繁
27.0,技術員,單身,大學,手機,109.0,1,92.713,-33.0,偶爾
33.0,主管,已婚,大學,手機,54.0,7,93.2,-42.0,一次
45.0,主管,單身,高中,手機,305.0,2,92.89299999999999,-46.2,一次
53.0,自僱人士,已婚,專科,手機,9.0,31,93.91799999999999,-42.7,一次
32.0,藍領,離婚,小學,手機,657.0,4,93.075,-47.1,頻繁
50.0,技術員,已婚,專科,手機,93.0,1,93.075,-47.1,頻繁
55.0,退休,已婚,高中,手機,87.0,2,93.075,-47.1,從未
35.0,技術員,已婚,大學,手機,90.0,3,93.075,-47.1,頻繁
56.0,企業家,已婚,大學,手機,204.0,1,93.075,-47.1,偶爾
30.0,未知,已婚,大學,手機,171.0,1,93.444,-36.1,一次
43.0,服務業,已婚,高中,市話,124.0,1,93.994,-36.4,一次
39.0,藍領,已婚,國中,市話,198.0,1,93.994,-36.4,偶爾
56.0,主管,已婚,大學,手機,120.0,6,93.444,-36.1,頻繁
56.0,藍領,已婚,小學,手機,119.0,5,93.91799999999999,-42.7,從未
30.0,主管,已婚,大學,市話,72.0,7,92.89299999999999,-46.2,頻繁
52.0,主管,離婚,大學,手機,104.0,2,93.91799999999999,-42.7,從未
31.0,服務業,單身,高中,市話,216.0,1,94.465,-41.8,偶爾
46.0,藍領,已婚,國中,手機,814.0,1,93.2,-42.0,偶爾
33.0,學生,單身,未知,手機,203.0,1,92.20100000000001,-31.4,從未
42.0,服務業,已婚,高中,手機,164.0,2,92.89299999999999,-46.2,頻繁
33.0,主管,單身,國中,手機,72.0,2,92.89299999999999,-46.2,頻繁
48.0,藍領,已婚,國中,手機,164.0,5,92.89299999999999,-46.2,頻繁
27.0,主管,已婚,大學,手機,415.0,5,94.027,-38.3,偶爾
45.0,經理,已婚,大學,市話,126.0,5,94.465,-41.8,頻繁
31.0,主管,已婚,高中,手機,305.0,2,93.91799999999999,-42.7,頻繁
32.0,服務業,已婚,大學,市話,691.0,10,93.91799999999999,-42.7,偶爾
32.0,技術員,已婚,大學,手機,22.0,7,93.91799999999999,-42.7,頻繁
58.0,藍領,已婚,高中,市話,183.0,2,94.465,-41.8,一次
50.0,技術員,已婚,專科,手機,378.0,2,93.444,-36.1,從未
31.0,服務業,單身,高中,手機,289.0,3,93.075,-47.1,從未
48.0,技術員,已婚,專科,手機,122.0,3,92.713,-33.0,頻繁
36.0,服務業,已婚,高中,市話,168.0,2,93.994,-36.4,從未
40.0,藍領,已婚,小學,市話,227.0,1,93.994,-36.4,頻繁
33.0,經理,已婚,大學,市話,144.0,2,93.994,-36.4,一次
35.0,家管,已婚,小學,手機,38.0,1,93.91799999999999,-42.7,從未
28.0,主管,單身,高中,手機,254.0,2,93.91799999999999,-42.7,一次
44.0,經理,已婚,大學,手機,1380.0,1,92.89299999999999,-46.2,一次
53.0,主管,離婚,高中,市話,75.0,3,93.91799999999999,-42.7,偶爾
60.0,退休,已婚,國中,手機,579.0,2,93.075,-47.1,偶爾
41.0,藍領,已婚,國中,市話,621.0,1,93.994,-36.4,頻繁
33.0,藍領,已婚,國中,手機,375.0,1,92.89299999999999,-46.2,從未
62.0,自僱人士,已婚,大學,市話,164.0,4,93.075,-47.1,從未
36.0,技術員,離婚,國中,手機,497.0,1,93.91799999999999,-42.7,從未
34.0,主管,已婚,高中,手機,359.0,5,93.91799999999999,-42.7,一次
36.0,經理,離婚,專科,手機,75.0,2,93.2,-42.0,頻繁
71.0,退休,已婚,高中,手機,363.0,1,94.199,-37.5,偶爾
28.0,主管,單身,大學,手機,353.0,1,92.963,-40.8,頻繁
41.0,藍領,單身,未知,手機,96.0,2,93.91799999999999,-42.7,偶爾
27.0,主管,單身,大學,手機,261.0,1,93.91799999999999,-42.7,偶爾
52.0,藍領,已婚,國中,市話,117.0,2,94.465,-41.8,頻繁
39.0,藍領,已婚,高中,手機,312.0,1,92.89299999999999,-46.2,從未
51.0,未知,已婚,未知,手機,10.0,5,93.444,-36.1,頻繁
33.0,藍領,已婚,國中,手機,702.0,2,93.91799999999999,-42.7,從未
58.0,退休,已婚,小學,手機,70.0,1,93.91799999999999,-42.7,從未
31.0,主管,單身,大學,手機,102.0,1,93.075,-47.1,頻繁
41.0,自僱人士,已婚,大學,市話,595.0,1,92.713,-33.0,頻繁
29.0,技術員,已婚,專科,手機,111.0,1,93.91799999999999,-42.7,偶爾
36.0,藍領,已婚,國中,市話,46.0,1,93.994,-36.4,偶爾
33.0,藍領,離婚,國中,市話,149.0,3,94.465,-41.8,頻繁
31.0,服務業,單身,高中,手機,9.0,17,93.91799999999999,-42.7,從未
42.0,藍領,已婚,國中,市話,117.0,2,94.465,-41.8,從未
39.0,藍領,離婚,高中,手機,172.0,2,92.89299999999999,-46.2,頻繁
58.0,主管,已婚,高中,手機,214.0,4,94.215,-40.3,頻繁
28.0,主管,已婚,大學,市話,406.0,2,94.465,-41.8,從未
35.0,技術員,單身,高中,手機,107.0,1,93.444,-36.1,偶爾
46.0,經理,已婚,大學,市話,183.0,3,94.465,-41.8,從未
46.0,服務業,已婚,高中,手機,336.0,4,93.91799999999999,-42.7,頻繁
33.0,技術員,已婚,專科,手機,147.0,1,93.444,-36.1,頻繁
28.0,藍領,已婚,國中,手機,497.0,1,93.91799999999999,-42.7,頻繁
30.0,主管,已婚,大學,市話,588.0,3,93.444,-36.1,從未
76.0,退休,已婚,小學,手機,1205.0,2,93.876,-40.0,頻繁
31.0,藍領,已婚,國中,手機,183.0,1,92.89299999999999,-46.2,從未
25.0,服務業,單身,高中,手機,21.0,2,92.89299999999999,-46.2,從未
50.0,自僱人士,已婚,小學,市話,244.0,2,93.994,-36.4,一次
24.0,主管,單身,高中,手機,797.0,2,92.89299999999999,-46.2,頻繁
59.0,藍領,已婚,小學,手機,237.0,3,92.84299999999999,-50.0,從未
47.0,經理,已婚,高中,手機,245.0,1,93.075,-47.1,偶爾
26.0,服務業,單身,高中,市話,177.0,4,93.994,-36.4,一次
30.0,主管,已婚,大學,市話,542.0,2,93.994,-36.4,從未
30.0,技術員,單身,大學,手機,195.0,1,92.89299999999999,-46.2,偶爾
51.0,服務業,已婚,未知,手機,547.0,3,93.444,-36.1,偶爾
32.0,技術員,已婚,高中,手機,599.0,3,93.444,-36.1,一次
20.0,學生,單身,國中,手機,267.0,2,92.84299999999999,-50.0,一次
39.0,服務業,已婚,國中,市話,100.0,1,94.465,-41.8,一次
37.0,服務業,已婚,高中,市話,124.0,2,93.994,-36.4,一次
24.0,學生,單身,未知,手機,367.0,1,94.199,-37.5,頻繁
32.0,技術員,單身,高中,手機,147.0,1,93.91799999999999,-42.7,從未
40.0,藍領,已婚,國中,手機,146.0,1,93.2,-42.0,一次
53.0,主管,已婚,大學,手機,320.0,3,93.91799999999999,-42.7,從未
45.0,未知,單身,小學,市話,189.0,5,93.994,-36.4,一次
57.0,家管,已婚,未知,手機,318.0,2,93.444,-36.1,偶爾
40.0,服務業,離婚,高中,手機,201.0,1,93.075,-47.1,頻繁
32.0,藍領,離婚,國中,市話,1025.0,2,93.2,-42.0,一次
59.0,企業家,已婚,國中,市話,200.0,4,93.994,-36.4,一次
29.0,主管,單身,大學,手機,163.0,1,93.444,-36.1,一次
43.0,未知,已婚,高中,市話,367.0,2,93.994,-36.4,偶爾
41.0,經理,已婚,大學,手機,696.0,2,92.649,-30.1,一次
58.0,主管,已婚,未知,市話,292.0,1,94.465,-41.8,從未
50.0,藍領,已婚,小學,手機,80.0,1,93.444,-36.1,偶爾
30.0,服務業,已婚,高中,市話,147.0,2,93.994,-36.4,一次
35.0,服務業,單身,高中,手機,71.0,2,92.89299999999999,-46.2,偶爾
31.0,主管,已婚,大學,手機,547.0,1,93.444,-36.1,一次
23.0,服務業,單身,高中,市話,174.0,9,94.465,-41.8,一次
61.0,退休,已婚,大學,手機,216.0,1,93.075,-47.1,頻繁
35.0,技術員,單身,專科,市話,394.0,3,94.465,-41.8,頻繁
33.0,主管,已婚,大學,手機,374.0,2,93.444,-36.1,偶爾
53.0,企業家,已婚,大學,市話,199.0,2,93.994,-36.4,偶爾
57.0,退休,單身,高中,市話,128.0,1,93.994,-36.4,一次
44.0,經理,已婚,高中,市話,137.0,1,93.91799999999999,-42.7,頻繁
29.0,藍領,已婚,小學,手機,98.0,1,92.20100000000001,-31.4,頻繁
42.0,主管,離婚,大學,手機,56.0,7,93.444,-36.1,一次
36.0,服務業,離婚,專科,市話,199.0,4,94.465,-41.8,頻繁
36.0,技術員,離婚,專科,手機,43.0,4,93.91799999999999,-42.7,從未
38.0,經理,已婚,大學,手機,328.0,2,92.20100000000001,-31.4,偶爾
46.0,技術員,離婚,專科,市話,365.0,3,94.465,-41.8,頻繁
23.0,服務業,已婚,高中,手機,370.0,1,92.89299999999999,-46.2,偶爾
32.0,技術員,已婚,專科,手機,183.0,7,93.444,-36.1,頻繁
43.0,技術員,單身,專科,市話,58.0,1,93.994,-36.4,偶爾
25.0,技術員,已婚,專科,手機,595.0,3,92.963,-40.8,頻繁
55.0,退休,離婚,高中,手機,609.0,6,93.91799999999999,-42.7,偶爾
31.0,技術員,離婚,專科,手機,254.0,1,93.91799999999999,-42.7,從未
32.0,技術員,已婚,專科,手機,20.0,6,92.89299999999999,-46.2,一次
37.0,藍領,已婚,高中,市話,262.0,2,93.994,-36.4,從未
24.0,技術員,單身,專科,市話,240.0,4,92.89299999999999,-46.2,從未
31.0,無業,單身,專科,市話,83.0,1,93.994,-36.4,一次
30.0,藍領,離婚,國中,市話,211.0,1,93.994,-36.4,一次
52.0,服務業,離婚,未知,市話,306.0,1,93.994,-36.4,偶爾
33.0,主管,單身,大學,手機,200.0,1,92.89299999999999,-46.2,頻繁
36.0,主管,已婚,高中,市話,285.0,2,94.465,-41.8,一次
69.0,退休,離婚,大學,手機,207.0,2,93.075,-47.1,頻繁
32.0,服務業,已婚,小學,手機,111.0,1,93.2,-42.0,偶爾
27.0,經理,單身,大學,手機,21.0,4,93.075,-47.1,從未
46.0,自僱人士,已婚,大學,手機,696.0,3,93.444,-36.1,一次
29.0,技術員,已婚,專科,市話,29.0,1,94.465,-41.8,一次
35.0,主管,已婚,高中,市話,189.0,1,93.91799999999999,-42.7,一次
30.0,主管,單身,大學,市話,819.0,1,93.994,-36.4,從未
30.0,主管,單身,大學,手機,92.0,2,92.963,-40.8,一次
49.0,主管,單身,高中,市話,6.0,2,93.91799999999999,-42.7,偶爾
51.0,藍領,已婚,專科,手機,86.0,1,92.37899999999999,-29.8,頻繁
34.0,主管,單身,大學,手機,325.0,2,92.84299999999999,-50.0,偶爾
34.0,藍領,離婚,國中,手機,6.0,6,92.89299999999999,-46.2,頻繁
48.0,家管,已婚,小學,手機,251.0,3,93.444,-36.1,一次
52.0,技術員,已婚,專科,手機,495.0,1,92.649,-30.1,頻繁
36.0,服務業,已婚,高中,市話,162.0,1,93.994,-36.4,從未
43.0,未知,已婚,高中,市話,96.0,1,93.994,-36.4,一次
71.0,退休,已婚,小學,手機,71.0,2,92.649,-30.1,偶爾
30.0,主管,已婚,大學,手機,114.0,2,93.444,-36.1,偶爾
43.0,經理,已婚,大學,市話,141.0,4,93.075,-47.1,從未
34.0,藍領,已婚,國中,手機,129.0,2,92.89299999999999,-46.2,偶爾
33.0,無業,單身,大學,手機,201.0,1,93.444,-36.1,一次
32.0,技術員,單身,大學,手機,75.0,3,93.444,-36.1,從未
50.0,藍領,已婚,國中,市話,192.0,2,93.994,-36.4,從未
39.0,主管,單身,大學,手機,258.0,1,93.91799999999999,-42.7,從未
29.0,主管,已婚,高中,手機,200.0,1,92.963,-40.8,頻繁
36.0,服務業,單身,高中,市話,216.0,4,92.89299999999999,-46.2,一次
